,brand,generic_text,year,mileage,color,plate,price,location,model,transmission,fuel,converted_mileage
239,Nissan,"Almera 1.5 E, A/T, GAS",2020,32T,Sapphire Metallic Blue,NFZ 3210,373000,MOA - PASAY,Almera 1.5 E,automatic,gas,32000
240,Nissan,"Almera Base 1.2L, M/T, Gas",2018,93T (per checklist),Alphine White,CS# F0 S328 (WITHOUT PLATES),240000,Cagayan de Oro,Almera Base 1.2L,manual,gas,93000
241,Nissan,"Almera Base 1.2L, M/T, Gas",2018,23T,Bluish Black,CS# F1 L244 (WITHOUT PLATES),320000,Panabo City,Almera Base 1.2L,manual,gas,23000
242,Nissan,"Almera Base 1.2L, M/T, Gas",2020,62T,Lunar Metallic Gray,LAI 8093,288000,Panabo City,Almera Base 1.2L,manual,gas,62000
243,Nissan,"Almera Base 1.5L, A/T, Gas",2016,22T,Black,ADM 7549  (CRE)           FDM 7549 (ACTUAL),224000,Bacolod,Almera Base 1.5L,automatic,gas,22000
244,Nissan,"Juke 1.6 N-Style CVT, A/T, Gas",2018,99T,Brilliant Silver,CAM 9792,565000,MOA - PASAY,Juke 1.6 N-Style CVT,automatic,gas,99000
245,Nissan,"Juke Upper 1.6L CVT, A/T, Gas",2018,60T,Red Alert,YAA 2715,544000,"Howmart, QC",Juke Upper 1.6L CVT,automatic,gas,60000
246,Nissan,"Navara EL Calibre 4x2 2.5, A/T, DSL",2018,36T,Alpine White,LAD 3392,597000,Panabo City,Navara EL Calibre 4x2 2.5,automatic,dsl,36000
247,Nissan,"Navara EL Calibre 4x2 2.5, A/T, DSL",2018,80T,Alpine White,GAJ 1752,639000,Cagayan de Oro,Navara EL Calibre 4x2 2.5,automatic,dsl,80000
248,Nissan,"Navara EL Calibre 4x2 2.5, A/T, DSL",2019,89T,Brilliant Silver,NDJ 6943,773000,MOA - PASAY,Navara EL Calibre 4x2 2.5,automatic,dsl,89000
249,Nissan,"Navara EL Calibre 4x2 2.5, A/T, DSL",2020,46T (per checklist),Brilliant Silver,FAL 3695,906000,Bacolod,Navara EL Calibre 4x2 2.5,automatic,dsl,46000
250,Nissan,"Navara EL Calibre 4x2 2.5, M/T, DSL",2019,59T,Brilliant Silver,WITHOUT CONDUCTION STICKER AND PLATES,741000,"Bolilao, Iloilo",Navara EL Calibre 4x2 2.5,manual,dsl,59000
251,Nissan,"Navara EL Calibre 4x2 2.5, M/T, DSL",2020,106T,Galaxy Black,NGD 8278,778000,MOA - PASAY,Navara EL Calibre 4x2 2.5,manual,dsl,106000
252,Nissan,"Navara EL Calibre 4x2 2.5, M/T, DSL",2022,14T,Alpine White,GAS 5372 (CRE) /                       CS# F5 C799 (WITHOUT PLATES),927000,Bacolod,Navara EL Calibre 4x2 2.5,manual,dsl,14000
253,Nissan,"Navara EL Calibre 4x2, M/T, DSL",2019,40T,Brilliant Silver,CAR 7711,671000,MOA - PASAY,Navara EL Calibre 4x2,manual,dsl,40000
254,Nissan,"Navara NP300 EL Calibre 4x2 2.5L, A/T, DSL",2019,87T (per checklist),Galaxy Black,KAG 7688,448000,Cagayan de Oro,Navara NP300 EL Calibre 4x2 2.5L,automatic,dsl,87000
255,Nissan,"Navara NP300 EL Calibre 4x2 2.5L, A/T, DSL",2021,30T,Brilliant Silver,NGU 6189,948000,"Gateway Bus Park, Gen. Trias, Cavite",Navara NP300 EL Calibre 4x2 2.5L,automatic,dsl,30000
256,Nissan,"Navara NP300 EL Calibre SV 4x2 2.5L, A/T, DSL",2019,41T,Aspen White,CS# F2 E036 (WITHOUT PLATES),906000,"Bolilao, Iloilo",Navara NP300 EL Calibre SV 4x2 2.5L,automatic,dsl,41000
257,Nissan,"Navara NP300 VL 4x4 2.5L, A/T, DSL",2020,86T,Aspen Pearl White,FAF 1862,986000,Bacolod,Navara NP300 VL 4x4 2.5L,automatic,dsl,86000
258,Nissan,"Navara VE Calibre 4x2 2.5L, A/T, DSL",2021,95T (per checklist),Alphine White,FAI 6987,980000,"Bolilao, Iloilo",Navara VE Calibre 4x2 2.5L,automatic,dsl,95000
