Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1344,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIL4460,Y2F121,COOL SILVER MET,"15,276","599,450.00"
"",,,,,,COOL SILVER,,
1345,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIG4547,Y1J256,,"10,451","626,050.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1346,PROMENADE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,NIG1930,Y1J247,,"13,412","653,000.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1347,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y2V284,,"13,833","549,100.00"
"",,,,,,METALLIC,,
1348,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G CVT AT,,Y3N013,RED METALLIC,"11,879","489,750.00"
"",,,MITSUBISHI MIRAGE G4 GLX 1.2G CVT EQUIPPED,,,COOL SILVER,,
1349,MARCELO GREEN,2023,,NIF2929,Y1K867,,"16,656","480,750.00"
"",,,WI,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1350,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2G MT,DAQ7212,B9H538,,"11,633","439,200.00"
"",,,,,,METALLIC,,
1351,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,,Y3I1896,SILVER,"4,716","584,250.00"
"",,,,,,COOL SILVER,,
1352,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,DBG2980,Y1S403,,"6,960","431,200.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1353,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFA5825,Y2K380,,"5,506","558,000.00"
"",,,,,,METALLIC,,
1354,AXIS TOWER,2017,MITSUBISHI MIRAGE G4 GLX 1.2G MT,EAB1418,B1F255,WINE RED PEARL,"73,458","274,000.00"
1355,AXIS TOWER,2016,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NCD6061,NL8320,COOL SILVER,"46,885","242,000.00"
1356,AXIS TOWER,2015,MITSUBISHI MIRAGE G4 GLX 1.2G MT,ICL1703,NK8042,VIRGIL GRAY,"173,631","150,300.00"
"",,,,,,TITANIUM GRAY,,
1357,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,,Y2Q345,,"2,378","433,300.00"
"",,,,,,METALLIC,,
1358,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,DAS9790,Y1J109,TITANIUM GRAY M,"19,554","416,500.00"
"",,,,,,COOL SILVER,,
1359,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,,Y2X561,,"1,946","557,100.00"
"",,,,,,METALLIC,,
1360,ENTRATA,2020,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFV7644,B7B579,VIRGIL GRAY,"73,717","348,000.00"
1361,ENTRATA,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NEU6184,B4Y691,COOL SILVER,"61,909","291,600.00"
1362,MARCELO GREEN,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT,DAO8898,,MAJESTIC RED,"22,520","294,300.00"
"",,,,,,TITANIUM GRAY,,
1363,MARCELO GREEN,2024,MITSUBISHI MIRAGE G4 GLX 1.2G MT,,Y3U127,,"5,992","466,900.00"
"",,,,,,METALLIC,,
1364,MARCELO GREEN,2020,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFV6039,B7H088,GREY,"38,653","358,000.00"
1365,MARCELO GREEN,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT,CAS8418,B6L352,WINE RED PEARL,"55,804","318,000.00"
1366,MARCELO GREEN,2020,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFV2353,B7B571,VIRGIL GRAY,"103,968","304,000.00"
1367,MARCELO GREEN,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFV6074,B6N733,MAJESTIC RED,"69,298","291,600.00"
"",,,,,,COOL SILVER,,
1368,MARCELO GREEN,2022,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NIC1021,B9P041,,"33,439","477,000.00"
"",,,,,,METALLIC,,
1369,MARCELO GREEN,2020,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFV7538,B7H134,VIRGIL GRAY,"22,685","300,050.00"
1370,PROMENADE,2017,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NAI9577,B0W502,AURORA WHITE,"27,109","271,000.00"
1371,SANFORD,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFU6089,B6S270,PYRENESE BLACK,"63,327","200,600.00"
1372,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,,Y3M539,GRAY,"10,166","459,000.00"
1373,THE SIGNATURE,2023,MITSUBISHI MIRAGE G4 GLX 1.2G MT,NFB6261,Y2K387,TITANIUM GRAY,"2,306","557,100.00"
1374,AXIS TOWER,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT GAS,NDN1505,B6E105,BLACK,"59,260","277,100.00"
1375,AXIS TOWER,2017,MITSUBISHI MIRAGE G4 GLX 1.2G MT GAS,NCR2059,B2I118,COOL SILVER,"93,000","226,950.00"
1376,MARCELO GREEN,2019,MITSUBISHI MIRAGE G4 GLX 1.2G MT GAS,,B5R396,PYRENESE BLACK,"45,653","244,800.00"
1377,PROMENADE,2017,MITSUBISHI MIRAGE G4 GLX 1.2G MT GAS,NBY6290,B0D250,AURORA WHITE,"136,266","182,400.00"
1378,ENTRATA,2016,MITSUBISHI MIRAGE G4 GLX 1.2G MT UPGRADED,NCI5093,NP7261,AURORA WHITE,"112,526","172,800.00"
1379,MARCELO GREEN,2016,MITSUBISHI MIRAGE G4 GLX 1.2G MT UPGRADED,,NQ9192,MAJESTIC RED,"5,796","156,000.00"
"",,,,,,TITANIUM GRAY,,
1380,SANFORD,2023,MITSUBISHI MIRAGE G4 GLX 1.2L AT GAS,,Y1I551,,"6,183","458,500.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1381,AXIS TOWER,2024,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,,Y3U622,,"10,328","693,000.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1382,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DAS1882,Y1H184,,"17,948","448,700.00"
"",,,,,,METALLIC,,
1383,ENTRATA,2020,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DBA7069,B7R612,MAJESTIC RED,"80,295","365,000.00"
1384,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,,Y3M353,RED METALLIC,"3,938","494,250.00"
1385,ENTRATA,2023,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DBJ1296,Y2X323,RED METALLIC,"8,667","426,400.00"
"",,,,,,TITANIUM GRAY,,
1386,MARCELO GREEN,2022,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DAQ7613,B9P020,,"23,898","519,300.00"
"",,,,,,METALLIC,,
1387,PROMENADE,2021,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DAV6509,B8X319,VIRGIL GRAY,"28,545","408,000.00"
1388,STA. MARIA,2023,MITSUBISHI MIRAGE G4 GLX 1.2L GAS CVT,DBG6915,Y1L848,SILVER METALLIC,"6,708","522,400.00"
"",,,,,,TITANIUM GRAY,,
1389,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,DAR6212,B9P513,,"7,447","380,800.00"
"",,,,,,METALLIC,,
1390,AXIS TOWER,2023,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,DBH5456,Y2P303,SILVER,"3,708","557,100.00"
"",,,,,,TITANIUM GRAY,,
1391,AXIS TOWER,2022,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,DAQ2208,B9G536,,"8,013","517,750.00"
"",,,,,,METALLIC,,
"",,,,,,TITANIUM GRAY,,
1392,ENTRATA,2024,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,,Y3T277,,"2,829","480,000.00"
"",,,,,,METALLIC,,
"",,,,,,COOL SILVER,,
1393,ENTRATA,2022,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,DAQ3879,B96446,,"11,712","374,500.00"
"",,,,,,METALLIC,,
1394,PROMENADE,2022,MITSUBISHI MIRAGE G4 GLX 1.2L GAS MT,DAR5758,B9P512,TITANIUM GRAY,"42,223","428,000.00"
1395,AXIS TOWER,2015,MITSUBISHI MIRAGE G4 GLX 1.2L MT,NBW1359,NJ6739,MAJESTIC RED,"153,762","160,800.00"
1396,SANFORD,2017,MITSUBISHI MIRAGE G4 GLX 1.2L MT GAS,BNY1283,NS7450,PYRENESE BLACK,"102,949","214,400.00"
1397,SANFORD,2015,MITSUBISHI MIRAGE G4 GLX 1.2L MT GAS,NBW2658,NJ6311,MAJESTIC RED,"128,490","166,400.00"
1398,SANFORD,2019,MITSUBISHI MIRAGE G4 GLX 1.2L MT GAS,DAN3839,B6C958,BLACK,"62,676","206,500.00"
1399,AXIS TOWER,2024,MITSUBISHI MIRAGE G4 GLX  1.2G CVT,,Y4O457,RED,"1,095","664,050.00"
1400,MARCELO GREEN,2015,MITSUBISHI MIRAGE G4 GX 1.2G MT,ABQ4363,NI0081,AURORA WHITE,"87,308","152,250.00"
1401,PROMENADE,2015,MITSUBISHI MIRAGE G4 GX 1.2L MT GAS,ABS7597,NH2202,AURORA WHITE,unavailable,"112,000.00"
1402,AXIS TOWER,2015,MITSUBISHI MIRAGE GLS 1.2G AT,,NK0778,BLACK,"69,800","225,000.00"
1403,ENTRATA,2017,MITSUBISHI MIRAGE GLS 1.2G MT,NCS8957,,WINE RED PEARL,"104,902","271,000.00"
"",,,,,,TITANIUM GRAY,,
1404,AXIS TOWER,2023,MITSUBISHI MIRAGE GLX,,Y1S352,,"4,834","464,250.00"
"",,,,,,METALLIC,,
1405,AXIS TOWER,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NIL5155,Y2F531,RED,"10,156","571,900.00"
"",,,,,,TITANIUM GRAY,,
1406,AXIS TOWER,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NEE9504,Y2B193,,"1,181","557,100.00"
"",,,,,,METALLIC,,
1407,AXIS TOWER,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NIF1679,Y0O460,TITANIUM GRAY,"15,149","433,300.00"
1408,ENTRATA,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NFA5361,Y2D441,GRAY,"10,110","493,600.00"
"",,,,,,TITANIUM GRAY,,
1409,MARCELO GREEN,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y2D475,,"3,007","462,000.00"
"",,,,,,METALLIC,,
1410,MARCELO GREEN,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y2C604,TITANIUM GRAY,"5,451","588,050.00"
1411,MARCELO GREEN,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NFA3326,Y2F666,RED METALLIC,"8,253","613,000.00"
1412,MARCELO GREEN,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y2F896,RED,67,"521,900.00"
1413,MARCELO GREEN,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NFA4962,Y2F522,RED METALLIC,"3,879","496,000.00"
1414,PROMENADE,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y0Q530,RED METALLIC,"4,793","554,400.00"
1415,STA. MARIA,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y3J713,RED,"3,763","462,750.00"
1416,THE SIGNATURE,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y1T143,GRAY,"4,612","484,000.00"
1417,THE SIGNATURE,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,NGC3496,Y1S238,TITANIUM GRAY,"20,727","415,100.00"
"",,,,,,TITANIUM GRAY,,
1418,THE SIGNATURE,2023,MITSUBISHI MIRAGE GLX 1.2G CVT,,Y1T086,,"7,040","402,350.00"
"",,,,,,METALLIC,,
1419,MARCELO GREEN,2022,MITSUBISHI MIRAGE GLX 1.2G MT,,Y0K224,RED METALLIC,"8,234","439,450.00"
1420,STA. MARIA,2023,MITSUBISHI MIRAGE GLX 1.2G MT,NII4199,Y1J554,RED METALLIC,"6,785","355,550.00"
1421,AXIS TOWER,2018,MITSUBISHI MIRAGE GLX 1.2L CVT,NFU7595,B3V898,WHITE,"46,119","266,400.00"
1422,AXIS TOWER,2017,MITSUBISHI MIRAGE GLX 1.2L GAS MT,DAF7022,NT1066,WINE RED PEARL,"121,194","189,900.00"
"",,,MITSUBISHI MIRAGE GLX HATCHBACK 1.2G CVT,,,,,
1423,MARCELO GREEN,2022,,,Y0N086,RED,"13,084","521,100.00"
"",,,(w/ touchscreen audio monitor),,,,,
1424,AXIS TOWER,2023,MITSUBISHI MIRAGE HATCHBACK GLX 1.2 CVT AT,FAO3035,Y1T162,RED METALLIC,"6,855","430,500.00"
1425,AXIS TOWER,2018,MITSUBISHI MONTERO SPORT GLS 2.4D 2WD,NBD1570,,PEARL WHITE,"177,077","675,750.00"
1426,PROMENADE,2018,MITSUBISHI MONTERO SPORT GLX 2.4D 2WD MT,NBC8049,B3K108,DEEP BLUE MICA,"79,780","893,000.00"
1427,MARCELO GREEN,2019,MITSUBISHI MONTERO SPORT GLX 4X2 MT,NFT4386,B5G418,MEDIUM RED,"73,074","803,700.00"
1428,MARCELO GREEN,2018,MITSUBISHI MONTERO SPT GLS 2.4D 2WD AT,NDO5249,B3M994,MEDIUM RED,"85,069","993,000.00"
1429,ENTRATA,2019,MITSUBISHI MONTERO SPT GLS PR 2.4D 2WD AT,,B5T799,MEDIUM RED,"74,587","795,900.00"
1430,AXIS TOWER,2019,MITSUBISHI MONTERO SPT GLX 2.4D 2WD MT,NGM4737,,TITANIUM GRAY,"102,736","736,950.00"
1431,AXIS TOWER,2023,MITSUBISHI MONTERO SPT GLX 2.4D 2WD MT,NIG3919,Y1O883,WHITE DIAMOND,"3,142","1,400,000.00"
1432,PROMENADE,2020,MITSUBISHI MONTERO SPT GLX 2.4D 2WD MT,NGK6567,B8F760,WHITE DIAMOND,"61,580","1,042,000.00"
"",,,,,,STERLING SILVER,,
1433,THE SIGNATURE,2023,MITSUBISHI MONTERO SPT GLX 2.4D 2WD MT,VAB5632,Y2G356,,"4,678","976,500.00"
"",,,,,,METALLIC,,
1434,AXIS TOWER,2015,MITSUBISHI MONTERO SPT GLX 2.5D 2WD AT SE,NDU3016,NK2646,VIRGIL GRAY,"140,470","507,200.00"
1435,AXIS TOWER,2015,MITSUBISHI MONTERO SPT GLX 2.5D 2WD MT,ABP4300,NH3672,GRAY,"108,752","504,900.00"
1436,MARCELO GREEN,2023,MITSUBISHI STRADA GLS 2.4D 2WD AT,NEE4038,Y1R490,STERLING SILVER,"33,879","1,150,450.00"
"",,,,,,DIAMOND BLACK,,
1437,MARCELO GREEN,2018,MITSUBISHI STRADA GLS 2.4L DSL AT 2WD,DAL2075,B4G268,,"61,619","756,000.00"
"",,,,,,METALLIC,,
1438,AXIS TOWER,2023,MITSUBISHI STRADA GLS 2.4L DSL AT 4X2,DAS7263,Y1N404,GRAY,"20,388","1,115,100.00"
1439,THE SIGNATURE,2023,MITSUBISHI STRADA GLS 4D 2WD AT,,Y1W127,RED SOLID CLEAR,"4,710","1,125,000.00"
1440,MARCELO GREEN,2015,MITSUBISHI STRADA GLX 2.5D 2WD MT SE,NDT2491,NI7328,PYRENESE BLACK,"113,284","446,000.00"
"",,,,,,STERLING SILVER,,
1441,MARCELO GREEN,2019,MITSUBISHI STRADA GLX PLUS 2.4D 2WD AT,NFT8551,B4Z978,,"114,464","651,100.00"
"",,,,,,METALLIC,,
1442,MARCELO GREEN,2019,MITSUBISHI STRADA GLX PLUS 2.4D MT 4X2,IAC5854,B5J203,JET BLACK MICA,"235,632","656,000.00"
"",,,,,,GRAPHITE GRAY,,
1443,MARCELO GREEN,2022,MITSUBISHI XPANDER CROSS 1.5G 2WD AT,CAW7831,B9U917,,"9,571","676,500.00"
"",,,,,,METALLIC,,
"",,,,,,SUNRISE ORANGE,,
1444,PROMENADE,2022,MITSUBISHI XPANDER CROSS 1.5G 2WD AT,NID1051,Y0V157,,"17,410","855,000.00"
"",,,,,,METALLIC,,
"",,,,,,GRAPHITE GRAY,,
1445,AXIS TOWER,2022,MITSUBISHI XPANDER GLS 1.5G 2WD AT,NFG9709,B9J830,,"26,159","806,550.00"
"",,,,,,METALLIC,,
"",,,,,,GRAPHITE GRAY,,
1446,ENTRATA,2023,MITSUBISHI XPANDER GLS 1.5G 2WD AT,,Y2S524,,"8,436","949,000.00"
"",,,,,,METALLIC,,
"",,,,,,STERLING SILVER,,
1447,STA. MARIA,2019,MITSUBISHI XPANDER GLS 1.5G 2WD AT,,B5H743,,unavailable,"444,000.00"
"",,,,,,METALLIC,,
1448,MARCELO GREEN,2023,MITSUBISHI XPANDER GLX 1.5G 2WD AT,NIG1409,Y1Q611,JED BLACK MICA,"19,198","810,000.00"
"",,,,,,GRAPHITE GRAY,,
1449,SANFORD,2023,MITSUBISHI XPANDER GLX 1.5G 2WD AT,BAC6801,Y0T806,,unavailable,"375,750.00"
"",,,,,,METALLIC,,
1450,ENTRATA,2019,MITSUBISHI XPANDER GLX 1.5G 2WD MT,NGJ3051,,JET BLACK MICA,"95,440","392,600.00"
1451,ENTRATA,2022,MITSUBISHI XPANDER GLX 1.5G 2WD MT,NGY7445,Y0G997,BLACK MICA,"33,880","513,100.00"
"",,,,,,GRAPHITE GRAY,,
1452,ENTRATA,2020,MITSUBISHI XPANDER GLX 1.5G 2WD MT,NFQ3666,B8F479,,"74,949","540,000.00"
"",,,,,,METALLIC,,
1453,PROMENADE,2023,MITSUBISHI XPANDER GLX 1.5G 2WD MT,NFB6070,Y2R667,JET BLACK MICA,"11,491","686,400.00"
1454,THE SIGNATURE,2023,MITSUBISHI XPANDER GLX 1.5G 2WD MT,BAC9705,Y1D416,BLACK,"14,206","864,000.00"
1455,ENTRATA,2023,MITSUBISHI XPANDER GLX 1.5L GAS AT 4X2,DAS3887,Y1M195,SILVER METALLIC,"15,446","822,600.00"
"",,,,,,GRAPHITE GRAY,,
1456,AXIS TOWER,2022,MITSUBISHI XPANDER GLX 4X2 1.5L MT GAS,NGY7447,Y0G902,,"32,885","573,000.00"
"",,,,,,METALLIC,,
1457,MARCELO GREEN,2019,MITSUBISHI XPANDER GLX PLUS 1.5G 2WD,NDL4421,B5X566,TITANIUM GRAY,"145,471","517,650.00"
"",,,,,,STERLING SILVER,,
1458,AXIS TOWER,2019,MITSUBISHI XPANDER GLX PLUS 1.5G 2WD AT,NAN7417,B7G926,,"61,296","699,000.00"
"",,,,,,METALLIC,,
1459,ENTRATA,2019,MITSUBISHI XPANDER GLX PLUS 1.5G 2WD AT,NGF6321,B6Q399,BLACK MICA,"21,884","608,400.00"
1460,AXIS TOWER,2020,NISSAN ALMERA 1.5L MT MC NSPORT,NGN2448,F2X858,BLUISH BLACK,"39,052","447,000.00"
1461,THE SIGNATURE,2017,NISSAN JUKE 1.6L CVT,NAW5580,OY4534,BLACK,"142,087","321,100.00"
1462,AXIS TOWER,2018,NISSAN JUKE 1.6L CVT EURO 4,,F0T278,RED ALERT,"86,200","400,350.00"
1463,MARCELO GREEN,2024,NISSAN LIVINA 1.5 VE AT,NIS1080,F6I304,PLATINUM SILVER,"4,126","893,700.00"
1464,MARCELO GREEN,2023,NISSAN LIVINA 1.5 VE AT,NIP9050,F6E493,MOONSTONE GREY,"6,448","993,000.00"
1465,AXIS TOWER,2022,NISSAN NAVARA 2.5 VE CALIBRE MT 4X2,NGQ3269,F5G500,GALAXY BLACK,"33,143","894,600.00"
1466,MARCELO GREEN,2019,NISSAN NAVARA NP300 2.5L 4X2 EL 6MT CALIBRE,NED6074,F2A023,SAVANNA ORANGE,"78,092","791,000.00"
1467,PROMENADE,2020,NISSAN NAVARA NP300 2.5L 4X2 EL 6MT CALIBRE,NFW2852,F2U538,GALAXY BLACK,"142,673","652,800.00"
1468,ENTRATA,2019,NISSAN NAVARA NP300 2.5L 4X2 EL 7AT CALIBRE,NED1098,F2M759,ALPINE WHITE,"70,944","840,000.00"
1469,ENTRATA,2019,NISSAN NAVARA NP300 2.5L 4X2 EL 7AT CALIBRE,NED4542,F2R927,GALAXY BLACK,"143,832","569,250.00"
1470,MARCELO GREEN,2019,NISSAN NAVARA NP300 2.5L 4X2 EL 7AT CALIBRE,NED7749,F2F315,BRILLIANT SILVER,"85,156","813,000.00"
1471,AXIS TOWER,2019,NISSAN NAVARA NP300 2.5L 4X4 VL 7AT,NED4804,F2R196,GALAXY BLACK,"383,401","663,600.00"
"",,,NISSAN NAVARA NP300 NAVARA 2.5L EL CALIBRE,,,,,
1472,AXIS TOWER,2020,,F3A907,GAN6618,ALPINE WHITE,"154,287","605,600.00"
"",,,AT,,,,,
1473,SANFORD,2022,NISSAN NP300 NAVARA 2.5 PRO-4X AT 4X4,CAX9763,F5E179,ASPEN PEARL WHITE,unavailable,"536,000.00"
1474,MARCELO GREEN,2023,NISSAN NP300 NAVARA 2.5 VE CALIBRE AT 4X2,CBT7521,F5V028,GALAXY BLACK,"15,105","1,220,000.00"
"",,,,,,LUNAR METALLIC,,
1475,ENTRATA,2022,NISSAN NP300 NAVARA 2.5 VE CALIBRE MT 4X2,CAX9762,F5E786,,"16,576","796,800.00"
"",,,,,,GRAY,,
"",,,NISSAN NP300 NAVARA 2.5L 4X2 EL 6MT CALIBRE,,,,,
1476,THE SIGNATURE,2020,,NGG6298,F3I415,SAVANNA ORANGE,"42,267","676,800.00"
"",,,N,,,,,
"",,,NISSAN NP300 NAVARA 2.5L 4X2 EL 7AT CALIBRE,,,,,
1477,PROMENADE,2017,,GAC3350,OY3418,GALAXY BLACK,"127,281","604,350.00"
"",,,N,,,,,
1478,MARCELO GREEN,2020,NISSAN NP300 NAVARA 2.5L EL CALIBRE MT 4X2,CAU4808,F3B458,GALAXY BLACK,"30,105","839,000.00"
1479,THE SIGNATURE,2019,NISSAN NP300 NAVARA 2.5L EL CALIBRE MT 4X2,,F2I320,ORANGE,"64,052","582,750.00"
1480,SANFORD,2020,NISSAN NP300 NAVARA 2.5L VL MT 4X4,,F2U647,BRILLIANT SILVER,unavailable,"361,900.00"
1481,THE SIGNATURE,2019,NISSAN NP300 NAVARA 4X2 EL AT CALIBRE,,F1V355,SAVANNA ORANGE,"71,941","656,800.00"
1482,MARCELO GREEN,2019,NISSAN NP300 NAVARA 4X2 EL MT CALIBRE,LAD7128,F1V594,BRILLIANT SILVER,"101,495","768,000.00"
1483,MARCELO GREEN,2018,NISSAN NV350 URVAN 15 SEATER,NAQ4931,,ALPINE WHITE,"289,285","547,000.00"
1484,MARCELO GREEN,2018,NISSAN NV350 URVAN 15 STR,NCT9037,F0M479,BRILLANT SILVER,"172,652","652,000.00"
1485,AXIS TOWER,2020,NISSAN NV350 URVAN 15STR EURO 4,NFW7566,F3G786,TOPAZ BROWN,"114,484","695,000.00"
1486,STA. MARIA,2017,NISSAN NV350 URVAN 18 SEATER,NDD6383,OW4506,BRILLIANT SILVER,"73,294","690,000.00"
1487,AXIS TOWER,2018,NISSAN NV350 URVAN 2.5L 18 SEATER MT,NAI2679,F0H012,ALPHINE WHITE,"96,417","480,200.00"
1488,SANFORD,2020,NISSAN TERRA 2.5L 4X2 EL M/T,NFW5028,F2W777,ASPEN PEARL WHITE,unavailable,"329,000.00"
1489,SANFORD,2020,NISSAN TERRA 2.5L 4X2 VL AT,NGF7334,F2X184,EARTH BROWN,"33,996","684,000.00"
1490,MARCELO GREEN,2020,NISSAN TERRA 2.5L VL AT 4X4,CAT3077,F2X345,ASPEN PEARL WHITE,"73,212","1,170,450.00"
1491,MARCELO GREEN,2019,NISSAN TERRA VL 4X4 2.5L AT DSL.,,F1T504,ASPEN PEARL WHITE,"60,058","1,003,500.00"
1492,AXIS TOWER,2022,NISSAN URVAN 2.5 STANDARD 15 SEATER MT,NGY6873,F5B525,BRILLIANT SILVER,"69,867","693,600.00"
1493,PROMENADE,2023,NISSAN URVAN 2.5 STANDARD 15 SEATER MT,NIL6799,F5R747,ALPINE WHITE,"13,381","1,215,000.00"
1494,THE SIGNATURE,2022,NISSAN URVAN 2.5 STANDARD 18-SEATER MT,NGX6919,F4Y113,GUN METALLIC,"32,445","985,500.00"
1495,AXIS TOWER,2022,PREMIUM GEELY EMGRAND,NIB6113,T0L666,WHITE,"14,509","513,900.00"
1496,PROMENADE,2018,SUBARU FORESTER 2.0 XT CVT,NAJ1534,ROB542,SILVER,"94,254","714,850.00"
1497,AXIS TOWER,2016,SUZUKI ALTO 800 STANDARD 0.8L MT,NCH9465,,BLUE,"38,771","125,000.00"
1498,AXIS TOWER,2022,SUZUKI DZIRE GLP AMT MC,NFJ3281,G3N651,GRAY,"35,275","438,600.00"
1499,PROMENADE,2023,SUZUKI ERTIGA 1.5 GA MT HYBRID,,G4G571,WHITE,"14,256","837,000.00"
1500,AXIS TOWER,2020,SUZUKI ERTIGA 1.5 GLX A/T,NGJ6734,G1X948,BROWN,"68,331","694,000.00"
1501,STA. MARIA,2020,SUZUKI ERTIGA 1.5 GLX AT,NDJ3556,G1U289,GRAY,"77,703","621,000.00"
1502,PROMENADE,2023,SUZUKI ERTIGA 1.5L GL AT HYBRID,DNW1009,G4L638,WHITE,"13,012","894,600.00"
1503,MARCELO GREEN,2020,SUZUKI ERTIGA GA 1.5L MT,,G1X766,GRAY,"86,991","475,200.00"
1504,AXIS TOWER,2018,SUZUKI ERTIGA GL 1.4L AT MC,NAI2824,G0O431,RED,"88,176","455,400.00"
1505,AXIS TOWER,2023,SUZUKI ERTIGA GL 1.5L MT,VAB4481,,SNOW WHITE PEARL,"70,700","801,000.00"
1506,ENTRATA,2019,SUZUKI ERTIGA GLX AT,NAY6333,G0Z281,SILVER,"68,845","561,000.00"
1507,MARCELO GREEN,2023,SUZUKI S PRESSO 1.0 GL MT SE,NHD7936,G4D284,BLUE,"11,223","372,750.00"
1508,PROMENADE,2023,SUZUKI S-PRESSO 1.0L MT,NGC4193,G4B481,SIZZLE ORANGE,"13,306","473,100.00"
1509,MARCELO GREEN,2023,SUZUKI S-PRESSO GL 1.0L MT,VAB4456,G4A966,RED,"20,643","441,000.00"
1510,AXIS TOWER,2018,SUZUKI SUPER CARRY,NEA6527,G0P961,WHITE,"26,755","148,200.00"
1511,STA. MARIA,2020,SUZUKI SUPER CARRY 0.8L UTILITY VAN,NGF4806,G1U494,WHITE,unavailable,"171,000.00"
1512,SANFORD,2019,SUZUKI SUPER CARRY UTILITY VAN,NBS2935,G1D045,WHITE,"66,801","179,400.00"
1513,MARCELO GREEN,2020,SUZUKI SUPER CARRY UTILIY VAN MT,NFW9892,G1W381,WHITE,"96,576","167,000.00"
1514,AXIS TOWER,2018,TOYOTA AVANZA 1.3E MT 4K 005,DAD2869,A7G765,BLACK METALLIC,"49,771","463,000.00"
1515,MARCELO GREEN,2018,TOYOTA AVANZA 1.3E MT 4K 005,DAH9369,A6L808,GRAY,"44,493","460,000.00"
1516,MARCELO GREEN,2018,TOYOTA AVANZA 1.5G AT,DAG7981,A3W410,GRAY,"108,806","542,000.00"
1517,MARCELO GREEN,2019,TOYOTA AVANZA E 1.3L MT GAS,DAO5300,P3D083,BLACK METALLIC,"38,678","512,000.00"
