Item,,,,,Conduction,,,
"",Location,Year,Make / Model,Plate #,,Color,Mileage,Minimun Bid Price
No.,,,,,Sticker No.,,,
1058,MARCELO GREEN,2016,FORD RANGER DOUBLE HIGHRIDER 4x2 XLT AT,NDT6855,,BLACK MICA,"98,242","516,000.00"
1059,MARCELO GREEN,2019,FORD RANGER DOUBLE HI-RIDER 2.2L 4X2 XLT A/T,NDJ7592,C2D543,METEOR GRAY,"128,273","568,500.00"
1060,STA. MARIA,2017,FORD RANGER FX4 2.2L 4X2 AT W/O ESC,NAZ5615,CO1908,METEOR GRAY,"136,054","584,100.00"
1061,AXIS TOWER,2020,FORD RANGER RAPTOR 2.0L 4X4 AT,NGG7970,C2N257,BLUE LIGHTNING,"78,427","1,345,550.00"
1062,MARCELO GREEN,2020,FORD RANGER WILDTRAK 2.0L 4X4 AT BI TURBO,VAA6455,C2P126,METEOR GRAY,"43,462","722,800.00"
1063,AXIS TOWER,2019,FORD RANGER XLS 4X2 AT DSL,,C1Y607,GRAY,"26,982","668,000.00"
1064,THE SIGNATURE,2023,FORD TERRITORY 1.5L ECOBOOST TITANIUM,,C4V789,DIFFUSED SILVER,"5,030","917,600.00"
"",,,FORD TERRITORY 1.5L ECOBOOST TITANIUM+,,,,,
1065,MARCELO GREEN,2022,,CBD7360,C4M547,PURE BLACK,"7,931","936,000.00"
"",,,CVT,,,,,
"",,,FORD TERRITORY 1.5L ECOBOOST TITANIUM+,,,,,
1066,SANFORD,2022,,NIE5190,C4O246,PANTHER BLACK,unavailable,"497,250.00"
"",,,CVT,,,,,
1067,STA. MARIA,2018,FOTON  TRANSVAN,,I0C974,WHITE,unavailable,"260,800.00"
1068,SANFORD,2016,FOTON TOANA VAN 15 SEATERS,DCP8554,GB6224,BROWN,unavailable,"540,400.00"
1069,MARCELO GREEN,2018,FOTON TOPLANDER 4X2 AT EX,NBF8405,,BLUE,"35,335","476,000.00"
1070,SANFORD,2020,FOTON VIEW TRAVELLER  XL,NEL7956,I0J077,WHITE,"43,389","743,400.00"
1071,AXIS TOWER,2019,FOTON VIEW TRAVELLER 16 SEATER MT,NEN1749,I0C628,WHITE,"81,631","774,000.00"
"",,,,,,MODERN STEEL,,
1072,MARCELO GREEN,2019,HONDA BRIO 1.2 V CVT AT,NEU6661,E2A778,,"27,485","479,000.00"
"",,,,,,METALLIC,,
1073,PROMENADE,2018,HONDA CITY 1.5E CVT,,E0G307,MODERN STEEL,"58,994","497,000.00"
1074,MARCELO GREEN,2019,HONDA CITY 1.5VX NAVI CVT,DAN3872,E1U912,TAFFETA WHITE,"55,532","587,000.00"
1075,SANFORD,2016,HONDA CITY 1.5VX+ NAVI CVT,,DR6672,GOLDEN BROWN,unavailable,"380,000.00"
1076,AXIS TOWER,2016,HONDA HR-V 1.8E CVT,ECR3996,DS6754,TAFETTA WHITE,"75,016","459,000.06"
1077,STA. MARIA,2018,HONDA MOBILIO 1.5V CVT,DAL1568,E1J504,TAFFETA WHITE,"16,260","564,000.00"
1078,ENTRATA,2015,HONDA MOBILO 1.5RS NAVI CVT,,DS0385,WHITE ORCHID PEARL,"30,953","486,000.00"
"",,,HYUNDAI  GRAND STAREX 2.5 CRDI GLS FL (DSL-,,,,,
1079,ENTRATA,2019,,NED3977,K0Y269,HYPER METALLIC,"61,844","896,250.00"
"",,,SW,,,,,
1080,THE SIGNATURE,2016,HYUNDAI ACCENT 1.4 GL 6MT,NDC2926,MR1023,PHANTOM BLACK,"188,001","164,000.00"
1081,MARCELO GREEN,2018,HYUNDAI ACCENT 1.4 GL CVT AT,NCR4211,MU5348,SILVER,"34,983","325,000.00"
1082,AXIS TOWER,2016,HYUNDAI ACCENT 1.4 GL MT,DDL8870,MP5461,CRYSTAL WHITE,"126,072","223,000.00"
1083,AXIS TOWER,2020,HYUNDAI ACCENT 1.4 GL WITH SRS AT,CAU8230,K1L039,RED,"55,420","407,700.00"
1084,AXIS TOWER,2015,HYUNDAI ACCENT 1.4E 6MT,ABL1860,MM7700,WHITE,"138,141","244,000.00"
1085,MARCELO GREEN,2018,HYUNDAI ACCENT 1.4GL CVT,NCM8633,MV3547,PULSE RED,"25,820","334,000.00"
1086,AXIS TOWER,2022,HYUNDAI ACCENT 1.6 CRDI GL AT (DSL),BAC7772,K1Z001,SLEEK SILVER,"39,510","525,000.00"
1087,ENTRATA,2018,HYUNDAI ACCENT 1.6 GL 6MT DSL MT,DAH5925,MV6508,SILVER,"107,415","246,000.00"
1088,SANFORD,2016,HYUNDAI ACCENT 1.6 GL MT,CAA1305,MR4848,VELOSTER RED,"59,013","181,050.00"
1089,MARCELO GREEN,2016,HYUNDAI ACCENT 1.6E 6MT DSL,,MP6251,SLEEK SILVER,"89,199","232,050.00"
1090,MARCELO GREEN,2016,HYUNDAI ACCENT E MT,,MP1576,DAZZLING BLUE,"73,273","210,800.00"
1091,PROMENADE,2016,HYUNDAI ACCENT GL 1.6L MT DSL,,MR1281,CRYSTAL WHITE,"180,556","189,000.00"
